Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
drinkDragonsBottledSuperPumpkinAwesomeSauce,items,Food,New,"Dragon's Bottled Super Pumpkin Awesome Sauce",,,,,
drinkDragonsBottledSuperPumpkinAwesomeSauceDesc,items,Food,New,"Are you still tired of getting bent by those pesky traders even with the other Awesome Sauce?\nTake a shot of Dragon's Super Pumpkin Awesome Sauce\nand get a much, better deal overall!",,,,,
drinkDragonsBottledSuperPumpkinAwesomeSauceSchematic,items,Food,New,"Dragon's Bottled Super Pumpkin Awesome Sauce Recipe",,,,,
drinkDragonsBottledSuperPumpkinMoonshine,items,Food,New,"Dragon's Bottled Super Pumpkin Moonshine",,,,,
drinkDragonsBottledSuperPumpkinMoonshineDesc,items,Food,New,"Nuthin' makes settling it the old way easier than drinking some of Dragon's Bottled Super Pumpkin Moonshine. \nGives all melee damage a punch that will makes the original Moonshine a joke. Also Increases fortitude, damage resistance and a bunch of other stuff.",,,,,
drinkDragonsBottledSuperPumpkinMoonshineSchematic,items,Food,New,"Dragon's Bottled Super Pumpkin Moonshine Recipe",,,,,
drinkSuperNitroPumpkinSpiceLatte,items,Food,New,"Super Nitro Pumpkin Spice Latte",,,,,
drinkSuperNitroPumpkinSpiceLatteDesc,items,Food,New,"Extremely one of the rarest drink you can find in the land. Has Coffee Beans, Blended Pumpkin, Pumpkin Spices, Super Pumpkin Beer, and a Mega Crush! This drink will blow your mind and make you super fast. WARNING! Drinking more than one at a time may cause immediate heart failure. DRINK AT YOUR OWN RISK. -Dragon",,,,,
drinkSuperNitroPumpkinSpiceLatteSchematic,items,Food,New,"Super Nitro Pumpkin Spice Latte Recipe",,,,,
drinkNitroPumpkinSpiceLatte,items,Food,New,"Nitro Pumpkin Spice Latte",,,,,
drinkNitroPumpkinSpiceLatteDesc,items,Food,New,"Not the rarest and easier on the heart this drink is. Has Coffee Beans, Blended Pumpkin, Pumpkin Spices, Beer, and a Mega Crush! This drink will make you super fast. WARNING! Drinking more than one a day may cause liver and kidney failure, eventually. I cannot promise you anything, good luck! -Dragon",,,,,
drinkNitroPumpkinSpiceLatteSchematic,items,Food,New,"Nitro Pumpkin Spice Latte Recipe",,,,,
drinkDragonsBottledSuperPumpkinBeer,items,Food,New,"Dragon's Bottled Super Pumpkin Beer",,,,,
drinkDragonsBottledSuperPumpkinBeerDesc,items,Food,New,"500% Fist Melee Damage\n50% Stamina Gain\n\nGain stamina, bravado and stun immunity all in one bottle of this tasty home brewed pumpkin beer just like before the zombie apocalypse.",,,,,
