Key,File,Type,UsedInMainMenu,NoTranslate,english
foodKFC,items,food,,,"KFC"
foodKFCDesc,items,food,,,"Who says we can't enjoy a cheap family meal during the apocalypse?"
foodPotatosalad,item,food,,,"Potato salad"
foodPotatosaladDesc,item,food,,,"Gas station quality potato salad, what could go wrong?"
drinkBlueberrySmoothie,item,drink,,,"Blueberry Smoothie"
drinkBlueberrySmoothieDesc,item,drink,,,"This blueberry Smoothie will cool you down, provide a boost to hunger AND cool you down some, talk about effective!"
foodSandwich,item,food,,,"Sandwich"
foodSandwichDesc,item,food,,,"Just like Momma used to make, I think."
foodTunalarge,item,food,,,"Large can of Tuna"
foodTunalargeDesc,item,food,,,"Its a large can of Tuna, what more is there to say?"
foodFries,item,food,,,"French fries"
foodFriesDesc,item,food,,,"its french fries, NOT chips."
foodItalianricotta,item,food,,,"Italian Ricotta"
foodItalianricottaDesc,item,food,,,"This is tasty to some people!"
foodGum,item,food,,,"Gum"
foodGumDesc,item,food,,,"While it wont satisfy hunger, it will give you some nice healing"
foodHamburger,item,food,,,"Hamburger"
foodHamburgerDesc,item,food,,,"If the zombies won't kill you, this will!"
resourcePaperplate,item,resource,,,"Paper plate"
resourcePaperplateDesc,item,resource,,,"You havn't already forgot what this is for right?"
foodCroissant,item,food,,,"Croissant"
foodCroissantDesc,item,food,,,"Because who dosn't love bread?"
foodNuggets,item,food,,,"Chicken Nuggets"
foodNuggetsDesc,item,food,,,"NUGGETS!!!!!!"
resourceChocoextract,item,resource,,,"Coco Extract"
resourceChocoextractDesc,item,resource,,,"This can be used to craft pure Chocolate which can be used as a ingredient."
foodCookie,item,food,,,"Cookie"
foodCookieDesc,item,food,,,"Oh! A Cookie!"
resourceRefinedchoco,item,resource,,,"Refined Coco"
resourceRefinedchocoDesc,item,resource,,,"You can use this to craft foods that require it."
foodCupcake,item,food,,,"Cupcake"
foodCupcakeDesc,item,food,,,"A cupcake in the apocalypse, Better eat it now!"
resourceSalt,item,resource,,,"Salt"
resourceSaltDesc,item,resource,,,"Its salt! Use it on your food, duh!"
drinkCoke,item,drink,,,"Coca-Cola"
drinkCokeDesc,item,drink,,,"Refreshing!"
resourceBread,item,resource,,,"Bread"
resourceBreadDesc,item,resource,,,"Used to craft Food!"
resourceFlour,item,resource,,,"Flour"
resourceFlourDesc,item,resource,,,"Refined flour from wheat, used to craft bread"
foodGrilledyucca,item,food,,,"Grilled Yucca"
foodGrilledyuccaDesc,item,food,,,"Grilled yuca, what a delight."
